restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Leon's Burgers & Wings,4.3,200,Burger,www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,Frazer Town,68.0,"12midnight – 3am, 11am – 12midnight "
Leon's Burgers & Wings,4.3,200,Fast Food,www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,Frazer Town,68.0,"12midnight – 3am, 11am – 12midnight "
Leon's Burgers & Wings,4.3,200,Wraps,www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,Frazer Town,68.0,"12midnight – 3am, 11am – 12midnight "
Empire Restaurant,4.2,200,North Indian,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Empire Restaurant,4.2,200,Biryani,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Empire Restaurant,4.2,200,Kebab,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Empire Restaurant,4.2,200,South Indian,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Empire Restaurant,4.2,200,Mughlai,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Empire Restaurant,4.2,200,Chinese,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Empire Restaurant,4.2,200,Seafood,www.zomato.com/bangalore/empire-restaurant-shivajinagar-bangalore/order,Shivajinagar,5551.0,11am – 2:30am 
Kannur Food Point,3.9,200,Kerala,www.zomato.com/bangalore/kannur-food-point-btm/order,BTM,575.0,8:30am – 11:30pm 
Kannur Food Point,3.9,200,Biryani,www.zomato.com/bangalore/kannur-food-point-btm/order,BTM,575.0,8:30am – 11:30pm 
