restaurant_name,ratings,price_for_one,cuisins,links,locations,delivery_review_no,timings
Nashville Fried Chicken -  NFC,New,200,"American, Burger, Beverages, Desserts, Fast Food, Finger Food",www.zomato.com/bangalore/nashville-fried-chicken-nfc-koramangala-7th-block-bangalore/order,Koramangala 7th Block,Newly Opened,Timings Not Available
Nandhana Palace,New,200,"Andhra, North Indian, Biryani, Chinese, Desserts, Beverages",www.zomato.com/bangalore/nandhana-palace-1-jayanagar-bangalore/order,Jayanagar,Newly Opened,Timings Not Available
Chowman,New,100,"Chinese, Thai, Asian, Seafood, Sichuan, Desserts, Beverages",www.zomato.com/bangalore/chowman-hosur-road-bangalore/order,Hosur Road,Newly Opened,"11:45am – 5pm, 5:45pm – 10:30pm "
Dil Punjabi,New,150,North Indian,www.zomato.com/bangalore/dil-punjabi-brigade-road-bangalore/order,Brigade Road,Newly Opened,Timings Not Available
Bangarpet Chats,New,250,Street Food,www.zomato.com/bangalore/bangarpet-chats-8-rt-nagar-bangalore/order,RT Nagar,Newly Opened,3:45pm – 9:30pm 
Shetty Lunch Home,New,150,"Mangalorean, North Indian, Biryani, Chinese",www.zomato.com/bangalore/shetty-lunch-home-sadashiv-nagar-bangalore/order,Sadashiv Nagar,Newly Opened,11:30am – 11:30pm 
Bhole Ke Chole,New,250,"North Indian, Street Food, Desserts, Beverages",www.zomato.com/bangalore/bhole-ke-chole-brigade-road-bangalore/order,Brigade Road,Newly Opened,Timings Not Available
Nano Duzi,New,200,"Chinese, Thai",www.zomato.com/bangalore/nano-duzi-hosur-road-bangalore/order,Hosur Road,Newly Opened,Timings Not Available
Nisarga Grand,New,100,"South Indian, Beverages",www.zomato.com/bangalore/nisarga-grand-city-market-bangalore/order,City Market,Newly Opened,Opens  at 7am
Mandara Family Restaurant,New,250,"Biryani, Chinese",www.zomato.com/bangalore/mandara-family-restaurant-shivajinagar-bangalore/order,Shivajinagar,Newly Opened,12noon – 11pm 
N Chef Restaurant,New,750,"South Indian, North Indian, Chinese, Biryani, Seafood, Mandi, Desserts, Beverages",www.zomato.com/bangalore/n-chef-restaurant-brigade-road-bangalore/order,Brigade Road,Newly Opened,"12midnight – 1am, 12noon – 12midnight "
Sri Udupi Swadista,New,200,"North Indian, South Indian, Sandwich, Street Food, Fast Food, Beverages",www.zomato.com/bangalore/sri-udupi-swadista-jayanagar-bangalore/order,Jayanagar,Newly Opened,Timings Not Available
GetAWay - Ice Creams & Desserts,New,100,"Ice Cream, Healthy Food, Desserts, Bakery, Mithai",www.zomato.com/bangalore/getaway-ice-creams-desserts-richmond-road-bangalore/order,Richmond Road,Newly Opened,Timings Not Available
Khichdi Bar,New,200,"South Indian, North Indian, Beverages",www.zomato.com/bangalore/khichdi-bar-1-brigade-road-bangalore/order,Brigade Road,Newly Opened,Timings Not Available
Sangam Sweets,New,150,"Mithai, Gujarati, Sandwich, Street Food, Beverages",www.zomato.com/bangalore/sangam-sweets-rajajinagar-bangalore/order,Rajajinagar,Newly Opened,Opens  at 9am
Dil Punjabi,New,150,North Indian,www.zomato.com/bangalore/dil-punjabi-residency-road-bangalore/order,Residency Road,Newly Opened,Timings Not Available
