Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Pizza Hut,4.1,200,Fast Food,St. Marks Road,539,https://www.zomato.com//bangalore/nandhini-deluxe-st-marks-road-bangalore 
KFC,4.4,200,Fast Food,Frazer Town,574,https://www.zomato.com//bangalore/thoms-bakery-since-1970-frazer-town-bangalore 
McDonald's,4.1,200,Fast Food,Shivajinagar,5248,https://www.zomato.com//bangalore/empire-restaurant-shivajinagar-bangalore 
Burger King,4.2,200,Fast Food,St. Marks Road,1967,https://www.zomato.com//bangalore/truffles-2-st-marks-road 
Meghana Foods,3.7,200,Biryani,City Market,17,https://www.zomato.com//bangalore/the-taj-hotel-1-city-market-bangalore 
Five Star Chicken,3.9,200,Fast Food,Koramangala,905,https://www.zomato.com//bangalore/hyderabad-biryaani-house-koramangala-5th-block 
Kanti Sweets,3.8,200,Sweets,Church Street,2962,https://www.zomato.com//bangalore/brik-oven-church-street 
Polar Bear,4.0,200,Desserts,Lavelle Road,86,https://www.zomato.com//bangalore/starbucks-coffee-lavelle-road-bangalore 
La Pino'z Pizza,3.9,200,Fast Food,Shanti Nagar,318,https://www.zomato.com//bangalore/dominos-pizza-shanti-nagar 
Onesta,3.9,200,Fast Food,Shanti Nagar,271,https://www.zomato.com//bangalore/pizza-hut-shanti-nagar 
EasyBites by Empire,3.7,200,Fast Food,Brigade Road,159,https://www.zomato.com//bangalore/kfc-brigade-road-bangalore 
Leon's Burgers & Wings,3.9,200,Fast Food,MG Road,213,https://www.zomato.com//bangalore/mcdonalds-mg-road 
Hari Super Sandwich,4.0,100,Bengali,Commercial Street,746,https://www.zomato.com//bangalore/burger-king-commercial-street 
Corner House Ice Creams,4.4,100,Desserts,Residency Road,2314,https://www.zomato.com//bangalore/meghana-foods-residency-road 
CakeZone,3.9,100,Desserts,City Market,918,https://www.zomato.com//bangalore/five-star-chicken-1-city-market-bangalore 
A2B - Adyar Ananda Bhavan,4.5,100,South Indian,Brigade Road,109,https://www.zomato.com//bangalore/kanti-sweets-brigade-road 
FreshMenu,4.3,100,Italian,Basavanagudi,300,https://www.zomato.com//bangalore/polar-bear-1-basavanagudi 
Al-Bek,3.9,100,Arabian,Basavanagudi,26,https://www.zomato.com//bangalore/la-pinoz-pizza-basavanagudi-bangalore 
